id,producto,description,precio,categorias,imagen,linkPago
198,Juego Sabana King Size 150 H Dohler,"JUEGO DE SABANAS ESTAMPADA DOHLER KING SIZE - 150 HILOS 100% ALGODÓN - GRAMAJE: 90g/m² TACTO SUAVE, ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497055788.jpg,<paymentLink>
197,Juego Sabana King Size 130 H Dohler,COD OR: 7730784145156                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/7891497055771.jpg,<paymentLink>
195,Juego Sabana Queen 150h E Dohler,"JUEGO DE SABANAS DOHLER QUEEN SIZE - 150 HILOS 100% ALGODÓN - GRAMAJE: 90g/m² TACTO SUAVE, EXCELENTE..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033037147%20-%207900033037130%20(1).jpg,<paymentLink>
196,Colcha Dohler Queen C/funda,COD OR: 7891497871869                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497872156%20-%207891497872149%20-%207891497871869%20(1).jpg,<paymentLink>
150,Juego Sabana King 180h  Home Class Estampada,JUEGO DE SABANAS 100% ALGODÓN - 180HILOS ESTAMPADAKING SIZE - SABANA AJUSTABLE: 180x200+40cm.SABANA ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784167066%20-%207730784167080%20-%207730784167103%20-%207730784167127%20(1).jpg,<paymentLink>
149,Juego Sabana King 180h  Home Class,JUEGO DE SABANAS 100% ALGODÓN - 180HILOSKING SIZE - SABANA AJUSTABLE: 180x200+40cm.SABANA SUPERIOR: ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,<paymentLink>
194,Colcha Dohler Full,CUBRECAMA PIQUET DE 2 PLAZAS FULL CONFECCIONADO POR DOHLER INCLUYE: 1 COLCHA DE 220 CM ANCHO X 250 C..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497871814%20-%207891497871807%20(1).jpg,<paymentLink>
193,Juego Sabana Queen Size 200 H Dohler,COD OR: 7891497135329                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135343%20-%207891497135329.jpg,<paymentLink>
192,Juego Sabana Queen Size 180 H Dohler,COD OR: 7891497135770                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135770.jpg,<paymentLink>
191,Colcha Dohler Queen Size C/funda,"COLCHA LISA CON FUNDA DOHLER TAMAÑO QUEEN SIZE MATERIAL: 100% POLYESTER - SUPER SUAVE, EXCELENTE CAL..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497029796.jpg,<paymentLink>
189,Juego Sabana King 130h L Home Class,COD OR: 7730784164171                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784164140%20-%207730784164157%20-%207730784164164%20-%207730784164171%20(1).jpg,<paymentLink>
190,Juego Sabana 2 Plazas 150 H Dohler,"JUEGO DE SABANAS ESTAMPADA DOHLER 2 PLAZAS - 150 HILOS 100% ALGODÓN - GRAMAJE: 90g/m² TACTO SUAVE, E..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497291070%20-%207891497290981%20(1).jpg,<paymentLink>
187,Juego Sabana Queen 180h Home Class,JUEGO DE SABANAS 100% ALGODÓN - 180HILOS - QUEEN SIZE -SABANA AJUSTABLE: 160x200+30cm - SABANA SUPER..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,<paymentLink>
188,Juego Sabana Queen 130h Dohler,"JUEGO DE SABANAS ESTAMPADA DOHLER QUEEN SIZE - 130 HILOS100% ALGODÓN - GRAMAJE: 100g/m² TACTO SUAVE,..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017828%20(1).jpg,<paymentLink>
186,Juego Sabana 2 Plazas 180h Home Class,JUEGO DE SABANAS 100% ALGODÓN - 180HILOS2 PLAZAS - SABANA AJUSTABLE: 140x200+30cm.SABANA SUPERIOR: 2..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,<paymentLink>
184,Juego Sabana Full 130h Dohler,"JUEGO DE SABANAS ESTAMPADA DOHLER 2 PLAZAS 130 HILOS 100% ALGODÓN - GRAMAJE: 100g/m² TACTO SUAVE, EX..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017811%20-%207900033017804%20-%207900033017798%20(1).jpg,<paymentLink>
183,Juego Sabana 1pza 150h Dohler Estampada,"JUEGO DE SABANAS ESTAMPADA DOHLER 1 PLAZA - 150 HILOS 100% ALGODÓN - GRAMAJE: 90g/m² TACTO SUAVE, EX..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033037147%20-%207900033037130%20(1).jpg,<paymentLink>
181,Colcha Dohler 1pza Lisa,CUBRECAMA PIQUET DE 1 PLAZA CONFECCIONADO POR DOHLER INCLUYE: 1 COLCHA DE 160 CM ANCHO X 250 CM LARG..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497871814%20-%207891497871807%20(1).jpg,<paymentLink>
178,Juego Sabana 1 Plaza 180h L Home Class,JUEGO DE SABANAS 100% ALGODÓN - 180HILOS1 PLAZA - SABANA AJUSTABLE: 100x200+30cm.SABANA SUPERIOR: 18..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145088%20-%207730784145101.png,<paymentLink>
182,Colcha Dohler 1 Plaza C/funda Verde,COD OR: 7891497029970                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497029970.jpg,<paymentLink>
146,Cortina Dormitorio Dohler Rosane,COD OR: 7891497631432                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497522310%207891497631432%20(1).jpg,<paymentLink>
175,Juego Sabana 1pza 130h Dohler Estampada,"JUEGO DE SABANAS ESTAMPADA DOHLER 1 PLAZA 130 HILOS100% ALGODÓN - GRAMAJE: 100g/m² TACTO SUAVE, EXCE..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017811%20-%207900033017804%20-%207900033017798%20(1).jpg,<paymentLink>
176,Juego Sabana 1pza 130h Dohler,"JUEGO DE SABANAS ESTAMPADA DOHLER 1 PLAZA 130 HILOS 100% ALGODÓN GRAMAJE: 100g/m² TACTO SUAVE, EXCEL..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017965%20-%207900033017958%20-%207900033017941.jpg,<paymentLink>
180,Cortina Dormitorio Dohler Rosane,COD OR: 7891497522310                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497522310%207891497631432%20(1).jpg,<paymentLink>
177,Juego Sabana 1 Plaza 200 H Dohler,COD OR: 7891497135343                    ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135343%20-%207891497135329.jpg,<paymentLink>
179,Protector De Colchon Richmond King Size Blanco,COD OR: 7730784141820                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784141790%20-%207730784141806%20-%207730784141813%20-%207730784141820%20(1).jpg,<paymentLink>
174,Almohada Flor De Algodon,COD OR: 7896630349892                    &nbs..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7896630349892%20(1).jpg,<paymentLink>
173,Colcha Richmond Jacq Pompon 1 Plaza,COLCHA CON POMPON100% POLIESTERMEDIDAS: 150x240cm..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784137397.jpg,<paymentLink>
155,Frazada King Mic Flannel Home Class,"FRAZADA KING SIZEMEDIDAS 240x260cmCOMPOSICIÓN: 100% POLIESTER, DELICADA SUAVIDAD, EXCELENTE CALIDAD,..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/CAMA/CAMP%204/7730784083762%20-%207730784083823%20-%207730784083885%20(1).jpg,<paymentLink>
